genre,revenue,title
Family,591794936.0,Tangled
Comedy,453079.0,The Extra Man
Science Fiction,66821036.0,Skyline
Drama,252276927.0,True Grit
Adventure,252276927.0,True Grit
Western,252276927.0,True Grit
Documentary,187716.0,Waste Land
Comedy,83160734.0,Hall Pass
Comedy,563706.0,The Virginity Hit
Animation,559852396.0,Cars 2
Family,559852396.0,Cars 2
Adventure,559852396.0,Cars 2
Comedy,559852396.0,Cars 2
Adventure,551.0,The Mysterious Lady
Drama,551.0,The Mysterious Lady
Comedy,142851197.0,"Crazy, Stupid, Love."
Drama,142851197.0,"Crazy, Stupid, Love."
Romance,142851197.0,"Crazy, Stupid, Love."
Animation,14460000.0,Winnie the Pooh
Family,14460000.0,Winnie the Pooh
Family,39300000.0,Alpha and Omega
Animation,39300000.0,Alpha and Omega
Documentary,103735.0,Freakonomics
Horror,205703818.0,Paranormal Activity 3
Documentary,225861.0,Life in a Day
Fantasy,160112671.0,Underworld: Awakening
Action,160112671.0,Underworld: Awakening
Horror,160112671.0,Underworld: Awakening
Action,149217355.0,Ghost Rider: Spirit of Vengeance
Fantasy,149217355.0,Ghost Rider: Spirit of Vengeance
Thriller,149217355.0,Ghost Rider: Spirit of Vengeance
Animation,348840316.0,The Lorax
Family,348840316.0,The Lorax
Action,81272766.0,Act of Valor
Thriller,81272766.0,Act of Valor
War,81272766.0,Act of Valor
Action,201585328.0,21 Jump Street
Comedy,201585328.0,21 Jump Street
Crime,201585328.0,21 Jump Street
Drama,4417580.0,"Jeff, Who Lives at Home"
Comedy,4417580.0,"Jeff, Who Lives at Home"
Action,32204030.0,Lockout
Thriller,32204030.0,Lockout
Science Fiction,32204030.0,Lockout
Comedy,234989584.0,American Reunion
Horror,13101672.0,Silent House
Mystery,13101672.0,Silent House
Comedy,54819301.0,The Three Stooges
Animation,118338361.0,The Pirates! In an Adventure with Scientists!
Adventure,118338361.0,The Pirates! In an Adventure with Scientists!
Family,118338361.0,The Pirates! In an Adventure with Scientists!
Comedy,118338361.0,The Pirates! In an Adventure with Scientists!
Animation,746921274.0,Madagascar 3: Europe's Most Wanted
Family,746921274.0,Madagascar 3: Europe's Most Wanted
Animation,538983207.0,Brave
Adventure,538983207.0,Brave
Comedy,538983207.0,Brave
Family,538983207.0,Brave
Action,538983207.0,Brave
Fantasy,538983207.0,Brave
Romance,8303261.0,Bel Ami
Drama,8303261.0,Bel Ami
Action,1163967.0,4.3.2.1
Thriller,1163967.0,4.3.2.1
Crime,1163967.0,4.3.2.1
Romance,1163967.0,4.3.2.1
Animation,877244782.0,Ice Age: Continental Drift
Comedy,877244782.0,Ice Age: Continental Drift
Adventure,877244782.0,Ice Age: Continental Drift
Family,877244782.0,Ice Age: Continental Drift
Family,107139399.0,ParaNorman
Animation,107139399.0,ParaNorman
Adventure,107139399.0,ParaNorman
Comedy,107139399.0,ParaNorman
Action,14400000.0,Hit & Run
Comedy,14400000.0,Hit & Run
Romance,14400000.0,Hit & Run
Drama,13231461.0,The Words
Thriller,13231461.0,The Words
Documentary,32726956.0,Katy Perry: Part of Me
Music,32726956.0,Katy Perry: Part of Me
Horror,142817992.0,Paranormal Activity 4
Drama,130482868.0,Cloud Atlas
Science Fiction,130482868.0,Cloud Atlas
Drama,18144030.0,StreetDance 3D
Comedy,32438988.0,Movie 43
Comedy,48065672.0,21 & Over
Adventure,585178928.0,The Croods
Animation,585178928.0,The Croods
Comedy,585178928.0,The Croods
Family,585178928.0,The Croods
Fantasy,585178928.0,The Croods
Foreign,111300.0,Burn
Documentary,111300.0,Burn
Action,126041322.0,This Is the End
Comedy,126041322.0,This Is the End
Drama,1585582.0,Lovelace
Comedy,23198652.0,The Way Way Back
Drama,23198652.0,The Way Way Back
Animation,970761885.0,Despicable Me 2
Comedy,970761885.0,Despicable Me 2
Family,970761885.0,Despicable Me 2
Animation,248384621.0,Cloudy with a Chance of Meatballs 2
Family,248384621.0,Cloudy with a Chance of Meatballs 2
Comedy,248384621.0,Cloudy with a Chance of Meatballs 2
Animation,1274219009.0,Frozen
Adventure,1274219009.0,Frozen
Family,1274219009.0,Frozen
Drama,32935319.0,Inside Llewyn Davis
Music,32935319.0,Inside Llewyn Davis
Horror,36433975.0,Devil's Due
Drama,75143.0,Better Living Through Chemistry
Comedy,75143.0,Better Living Through Chemistry
Adventure,469160692.0,The Lego Movie
Animation,469160692.0,The Lego Movie
Comedy,469160692.0,The Lego Movie
Family,469160692.0,The Lego Movie
Fantasy,469160692.0,The Lego Movie
Action,714766572.0,Captain America: The Winter Soldier
Adventure,714766572.0,Captain America: The Winter Soldier
Science Fiction,714766572.0,Captain America: The Winter Soldier
Comedy,10429707.0,Moms' Night Out
Horror,121179.0,Afflicted
Thriller,121179.0,Afflicted
Crime,188441614.0,22 Jump Street
Comedy,188441614.0,22 Jump Street
Action,188441614.0,22 Jump Street
Science Fiction,183987723.0,Jupiter Ascending
Fantasy,183987723.0,Jupiter Ascending
Action,183987723.0,Jupiter Ascending
Adventure,183987723.0,Jupiter Ascending
Crime,39407616.0,Sin City: A Dame to Kill For
Thriller,39407616.0,Sin City: A Dame to Kill For
Animation,108255770.0,The Boxtrolls
Comedy,108255770.0,The Boxtrolls
Family,108255770.0,The Boxtrolls
Fantasy,108255770.0,The Boxtrolls
Science Fiction,3000000.0,Predestination
Thriller,3000000.0,Predestination
Action,88761661.0,John Wick
Thriller,88761661.0,John Wick
Adventure,652105443.0,Big Hero 6
Family,652105443.0,Big Hero 6
Animation,652105443.0,Big Hero 6
Action,652105443.0,Big Hero 6
Comedy,652105443.0,Big Hero 6
Animation,126546518.0,Walking With Dinosaurs
Family,126546518.0,Walking With Dinosaurs
Adventure,126546518.0,Walking With Dinosaurs
Comedy,169837010.0,Dumb and Dumber To
Family,373552094.0,Penguins of Madagascar
Animation,373552094.0,Penguins of Madagascar
Adventure,373552094.0,Penguins of Madagascar
Comedy,373552094.0,Penguins of Madagascar
Drama,43884652.0,Still Alice
Action,12342632.0,The Interview
Comedy,12342632.0,The Interview
Adventure,794191988.0,Pirates of the Caribbean: Dead Men Tell No Tales
Action,794191988.0,Pirates of the Caribbean: Dead Men Tell No Tales
